season,event,champion,games_contests,pick_ban_ratio,banned_games,played_games,played_by_number_of_players,win,lose,win_rate,kills,deaths,assists,kill_death_assist_ratio,creep_score,cs/min,gold,gold/min,damage,damage/min,kill_participation,kill_share,gold_share
3,Main,Vladimir,6,9.5,,6,5.0,2,4,33.3,2.0,4.5,3.17,1.15,224.83,7.38,9.8,323.0,,,,,
3,Main,Singed,6,9.5,1.0,5,3.0,3,2,60.0,1.6,2.0,7.2,4.4,234.8,7.14,10.8,329.0,,,,,
3,Main,Lulu,5,7.9,,5,4.0,1,4,20.0,0.0,3.6,3.4,0.94,15.8,0.53,5.2,173.0,,,,,
3,Main,Ryze,5,7.9,,5,2.0,1,4,20.0,3.4,4.4,3.8,1.64,218.8,7.33,9.7,324.0,,,,,
3,Main,Karthus,5,7.9,2.0,3,3.0,1,2,33.3,5.33,5.0,5.33,2.13,276.67,7.92,12.4,355.0,,,,,
3,Main,Nasus,4,6.3,,4,3.0,2,2,50.0,1.5,3.5,5.5,2.0,183.75,6.15,9.1,305.0,,,,,
3,Main,Nidalee,3,4.8,,3,3.0,2,1,66.7,2.33,1.67,2.67,3.0,250.67,7.41,11.7,345.0,,,,,
3,Main,Diana,3,4.8,,3,3.0,1,2,33.3,3.33,3.33,4.67,2.4,249.0,7.85,10.9,345.0,,,,,
3,Main,Nunu,3,4.8,,3,2.0,1,2,33.3,1.67,3.67,9.67,3.09,85.33,2.27,9.6,256.0,,,,,
3,Main,Tristana,3,4.8,,3,3.0,1,2,33.3,3.33,2.33,2.67,2.57,264.33,7.6,11.7,337.0,,,,,
3,Main,Malphite,3,4.8,,3,3.0,0,3,0.0,1.67,2.67,3.67,2.0,177.0,5.91,7.8,260.0,,,,,
3,Main,Yorick,3,4.8,1.0,2,2.0,1,1,50.0,1.0,2.0,4.5,2.75,190.5,5.58,9.9,290.0,,,,,
3,Main,Riven,2,3.2,,2,1.0,2,0,100.0,3.5,3.0,7.0,3.5,241.0,7.57,11.9,374.0,,,,,
3,Main,Nami,2,3.2,,2,1.0,1,1,50.0,0.0,2.0,10.5,5.25,27.5,0.75,7.0,191.0,,,,,
3,Main,Syndra,2,3.2,,2,1.0,1,1,50.0,9.0,3.5,7.5,4.71,271.0,9.12,13.0,438.0,,,,,
3,Main,Shyvana,2,3.2,,2,2.0,0,2,0.0,0.5,4.5,1.5,0.44,225.5,6.87,9.2,280.0,,,,,
3,Main,Blitzcrank,1,1.6,,1,1.0,1,0,100.0,4.0,2.0,12.0,8.0,14.0,0.47,8.7,290.0,,,,,
3,Main,Cassiopeia,1,1.6,,1,1.0,1,0,100.0,6.0,0.0,3.0,9.0,319.0,8.65,15.7,426.0,,,,,
3,Main,Jayce,1,1.6,,1,1.0,1,0,100.0,6.0,2.0,11.0,8.5,237.0,8.2,13.3,460.0,,,,,
3,Main,Kayle,1,1.6,,1,1.0,1,0,100.0,7.0,10.0,13.0,2.0,307.0,6.15,18.4,369.0,,,,,
3,Main,Sivir,1,1.6,,1,1.0,1,0,100.0,7.0,2.0,19.0,13.0,172.0,5.73,12.4,413.0,,,,,
3,Main,Tryndamere,1,1.6,,1,1.0,1,0,100.0,5.0,2.0,5.0,5.0,264.0,7.67,14.0,407.0,,,,,
3,Main,Veigar,1,1.6,,1,1.0,1,0,100.0,1.0,1.0,4.0,5.0,25.0,0.68,8.8,239.0,,,,,
3,Main,Volibear,1,1.6,,1,1.0,1,0,100.0,8.0,3.0,14.0,7.33,96.0,2.67,11.7,326.0,,,,,
3,Main,Dr. Mundo,1,1.6,,1,1.0,0,1,0.0,1.0,7.0,1.0,0.29,99.0,4.14,5.3,221.0,,,,,
3,Main,Hecarim,1,1.6,,1,1.0,0,1,0.0,8.0,2.0,7.0,7.5,173.0,5.03,11.3,328.0,,,,,
3,Main,Karma,1,1.6,,1,1.0,0,1,0.0,3.0,7.0,3.0,0.86,85.0,3.55,6.2,259.0,,,,,
3,Main,Miss Fortune,1,1.6,,1,1.0,0,1,0.0,1.0,3.0,2.0,1.0,214.0,6.58,9.2,283.0,,,,,
3,Main,Soraka,1,1.6,,1,1.0,0,1,0.0,0.0,8.0,8.0,1.0,120.0,4.0,6.4,213.0,,,,,
3,Main,Swain,1,1.6,,1,1.0,0,1,0.0,2.0,5.0,4.0,1.2,263.0,7.55,10.7,307.0,,,,,
3,Main,Teemo,1,1.6,,1,1.0,0,1,0.0,3.0,6.0,8.0,1.83,164.0,4.77,9.3,270.0,,,,,
3,Main,Xin Zhao,1,1.6,,1,1.0,0,1,0.0,1.0,6.0,1.0,0.33,94.0,2.89,7.0,215.0,,,,,
3,Main,Zilean,1,1.6,,1,1.0,0,1,0.0,5.0,7.0,4.0,1.29,96.0,3.2,8.2,273.0,,,,,
3,Main,Ziggs,1,1.6,1.0,0,,0,0,,,,,,,,,,,,,,
4,Main,Alistar,78,100.0,73.0,5,5.0,4,1,80.0,2.0,2.6,8.2,3.92,163.8,5.31,10.1,327.0,,,72.9,14.3,19.4
4,Main,Zilean,75,96.2,62.0,13,11.0,6,7,46.2,2.23,2.62,7.08,3.56,150.08,4.21,10.8,302.0,,,68.8,16.5,18.7
4,Main,Lee Sin,72,92.3,29.0,43,16.0,24,19,55.8,2.91,2.74,7.21,3.69,102.6,2.84,10.4,287.0,,,65.9,18.9,17.5
4,Main,Maokai,72,92.3,45.0,27,12.0,17,10,63.0,2.7,3.11,9.59,3.95,221.52,6.16,12.3,342.0,,,67.9,14.9,19.9
4,Main,Ryze,68,87.2,31.0,37,14.0,22,15,59.5,3.49,3.16,5.54,2.85,232.95,6.65,12.3,351.0,,,61.6,23.8,21.0
4,Main,Kha'Zix,66,84.6,8.0,58,18.0,25,33,43.1,2.98,2.57,4.79,3.03,137.84,3.8,10.8,299.0,,,61.1,23.4,18.8
4,Main,Thresh,63,80.8,19.0,44,15.0,24,20,54.5,0.8,3.34,9.84,3.18,31.27,0.88,8.4,237.0,,,68.1,5.1,14.3
4,Main,Lucian,61,78.2,17.0,44,15.0,23,21,52.3,4.77,2.36,4.93,4.11,325.05,8.68,15.1,404.0,,,69.0,33.9,24.6
4,Main,Janna,53,67.9,8.0,45,14.0,28,17,62.2,0.33,2.11,11.13,5.43,19.87,0.55,9.2,255.0,,,73.5,2.1,15.3
4,Main,Rumble,40,51.3,15.0,25,11.0,13,12,52.0,2.72,3.76,7.88,2.82,211.0,5.34,12.3,310.0,,,63.7,16.3,19.2
4,Main,Tristana,39,50.0,7.0,32,15.0,12,20,37.5,3.94,2.19,3.41,3.36,299.78,8.73,13.3,388.0,,,68.3,36.6,25.1
4,Main,Zed,38,48.7,19.0,19,9.0,9,10,47.4,4.53,3.58,4.32,2.47,306.79,7.88,14.4,369.0,,,63.2,32.3,23.2
4,Main,Twitch,35,44.9,11.0,24,9.0,17,7,70.8,5.96,2.42,7.58,5.6,225.63,6.6,13.1,383.0,,,63.6,28.0,21.6
4,Main,Rengar,33,42.3,19.0,14,6.0,12,2,85.7,4.36,2.43,9.57,5.74,117.07,3.42,11.6,338.0,,,65.0,20.3,18.3
4,Main,Orianna,32,41.0,5.0,27,12.0,14,13,51.9,3.22,2.7,5.7,3.3,300.63,8.41,13.2,368.0,,,73.5,26.5,23.2
4,Main,Yasuo,30,38.5,15.0,15,8.0,10,5,66.7,4.07,2.27,6.0,4.44,285.73,8.89,13.0,405.0,,,59.7,24.1,23.4
4,Main,Nami,29,37.2,3.0,26,12.0,10,16,38.5,0.88,3.27,8.15,2.76,18.58,0.48,9.2,239.0,,,73.7,7.2,15.2
4,Main,Syndra,25,32.1,11.0,14,9.0,5,9,35.7,4.21,3.64,5.07,2.55,337.21,8.13,15.1,365.0,,,64.4,29.2,23.5
4,Main,Nidalee,25,32.1,17.0,8,6.0,1,7,12.5,2.25,5.25,2.75,0.95,231.38,6.21,11.5,309.0,,,48.2,21.7,20.7
4,Main,Fizz,24,30.8,11.0,13,7.0,5,8,38.5,5.0,3.08,4.31,3.03,247.08,7.46,12.1,365.0,,,62.7,33.7,23.0
4,Main,Corki,22,28.2,,22,7.0,12,10,54.5,4.14,2.36,5.32,4.0,275.45,7.82,13.3,379.0,,,63.0,27.6,22.8
4,Main,Irelia,21,26.9,6.0,15,7.0,10,5,66.7,3.0,1.4,6.2,6.57,238.27,6.77,12.3,351.0,,,63.6,20.7,20.9
4,Main,Jayce,20,25.6,8.0,12,6.0,7,5,58.3,3.83,2.5,6.67,4.2,244.08,7.26,12.6,375.0,,,66.0,24.1,21.9
4,Main,Jarvan IV,18,23.1,1.0,17,10.0,6,11,35.3,1.71,3.59,8.94,2.97,112.76,3.15,10.1,282.0,,,79.7,12.8,17.9
4,Main,Kog'Maw,17,21.8,1.0,16,9.0,7,9,43.8,3.63,2.5,5.25,3.55,294.69,7.21,14.6,357.0,,,71.4,29.1,22.9
4,Main,Lulu,17,21.8,2.0,15,10.0,5,10,33.3,1.27,2.6,4.0,2.03,243.07,6.72,11.4,316.0,,,64.2,15.4,20.9
4,Main,Elise,16,20.5,1.0,15,9.0,5,10,33.3,1.47,3.33,4.07,1.66,114.8,2.96,10.1,260.0,,,52.2,13.8,16.9
4,Main,Kayle,15,19.2,2.0,13,10.0,5,8,38.5,1.62,3.08,6.62,2.68,221.54,6.19,11.3,316.0,,,68.2,13.4,20.6
4,Main,Twisted Fate,14,17.9,6.0,8,4.0,3,5,37.5,4.88,3.38,6.63,3.41,296.25,8.7,14.9,439.0,,,68.1,28.9,25.9
4,Main,Ahri,13,16.7,1.0,12,8.0,5,7,41.7,3.58,2.58,4.58,3.16,300.25,7.72,14.0,361.0,,,69.0,30.3,23.0
4,Main,Braum,12,15.4,,12,9.0,6,6,50.0,0.08,3.75,9.42,2.53,36.75,1.14,7.8,242.0,,,69.1,0.6,14.8
4,Main,Morgana,12,15.4,,12,6.0,6,6,50.0,0.5,3.17,8.75,2.92,24.83,0.63,10.2,261.0,,,67.3,3.6,15.9
4,Main,Dr. Mundo,10,12.8,,10,5.0,1,9,10.0,1.7,3.1,3.2,1.58,230.8,6.32,11.0,302.0,,,53.3,18.5,20.6
4,Main,Kassadin,10,12.8,2.0,8,6.0,5,3,62.5,4.38,2.5,6.75,4.45,246.88,6.96,13.0,367.0,,,63.6,25.0,21.6
4,Main,Jinx,10,12.8,3.0,7,3.0,2,5,28.6,1.71,4.29,5.0,1.57,227.43,6.72,10.8,318.0,,,61.0,15.6,22.2
